model,weight_quant,cache_type_k,cache_type_v,n_ctx,example_id,domain,sub_domain,difficulty,length,predicted,expected,is_correct,ttft_s,decode_tokens_per_second,prompt_tokens,predicted_tokens
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fb6d71bb02136c067c7c34,Multi-Document QA,Legal,hard,short,A,B,False,2.569147011032328,133.76891837378798,27426,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebd3075a08c7b9b35e02bd,Single-Document QA,Academic,hard,short,A,B,False,2.1791690529789776,139.46013673630594,16621,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f95c18bb02136c067c52e1,Single-Document QA,Legal,hard,short,A,B,False,3.880453589023091,130.9625027752796,36251,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f9625fbb02136c067c5456,Long In-context Learning,User guide QA,easy,short,B,B,True,2.3528327220119536,141.74422918270056,13174,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebe68d5a08c7b9b35e190b,Single-Document QA,Legal,hard,short,A,C,False,2.0447214319719933,139.34141586118983,17240,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ed3e90821e116aacb1f82f,Code Repository Understanding,Code repo QA,easy,short,D,C,False,7.852622570004314,120.16364786794016,64818,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f8c6b4bb02136c067c4480,Multi-Document QA,Multi-news,hard,short,A,C,False,3.2533120869775303,139.75355334327622,13829,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6725e2febb02136c067d8717,Single-Document QA,Event ordering,hard,short,?,D,False,4.018334141001105,128.84898596854677,36781,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ec7ba6821e116aacb1d114,Multi-Document QA,Academic,hard,short,A,C,False,5.06601397797931,132.07054630775121,39112,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6703a0ecbb02136c067cd11b,Long Structured Data Understanding,Table QA,hard,short,B,A,False,9.796845816017594,118.06713038761994,75900,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f39aa7821e116aacb2da76,Single-Document QA,Financial,hard,short,B,B,True,3.4801208779681474,138.19357248738714,16594,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f6bcf3bb02136c067c2703,Multi-Document QA,Governmental,hard,short,A,A,True,1.5468956619733945,144.1589171863333,11085,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fa7c81bb02136c067c6e09,Code Repository Understanding,Code repo QA,hard,short,D,B,False,10.017786481999792,118.36935121573646,80143,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ed0cb0821e116aacb1e6c1,Single-Document QA,Financial,hard,short,D,A,False,7.289796892029699,126.87638275432768,53398,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,671b2c67bb02136c067d50f7,Long-dialogue History Understanding,Agent history QA,hard,short,B,D,False,5.651190972013865,130.1600052877502,45131,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ec3aff821e116aacb1c52e,Single-Document QA,Literary,easy,medium,D,D,True,11.753439491032623,116.12947710888407,85264,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,67246a00bb02136c067d759f,Single-Document QA,Event ordering,hard,medium,B,B,True,21.939619068987668,109.33874357634882,129541,9
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,67286634bb02136c067d91f0,Long In-context Learning,Many-shot learning,hard,medium,B,D,False,20.33251282502897,136.07293509320996,116688,3
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,670fb8dfbb02136c067d2c48,Single-Document QA,Detective,easy,medium,A,D,False,14.106618496996816,109.08136447151784,102590,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebd2975a08c7b9b35e01e3,Single-Document QA,Academic,hard,medium,C,C,True,10.855991780990735,120.26062732828802,70220,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6725dc6abb02136c067d8586,Long In-context Learning,Many-shot learning,easy,medium,B,C,False,15.3742691189982,111.42255262104146,99070,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,671b56cfbb02136c067d54e9,Long-dialogue History Understanding,Dialogue history QA,easy,medium,C,D,False,15.710189650999382,111.79478669467359,99482,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ec31eb821e116aacb1bf28,Single-Document QA,Literary,easy,medium,D,B,False,16.009445260977373,111.28383289341443,101483,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ec1aef821e116aacb1aa1a,Multi-Document QA,Academic,hard,medium,A,C,False,9.500578753009904,122.92279680093421,64459,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ed211f821e116aacb1ee0d,Single-Document QA,Literary,hard,medium,A,C,False,14.160589735023677,111.93938482311827,94373,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f3c806821e116aacb2ed77,Multi-Document QA,Financial,hard,medium,C,C,True,12.011933467991184,116.88472974058895,78683,128
