model,weight_quant,cache_type_k,cache_type_v,n_ctx,example_id,domain,sub_domain,difficulty,length,predicted,expected,is_correct,ttft_s,decode_tokens_per_second,prompt_tokens,predicted_tokens
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f3c1c3821e116aacb2eaf6,Multi-Document QA,Governmental,hard,short,A,A,True,4.857828350999625,91.13050956905948,33941,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f3b843821e116aacb2e692,Multi-Document QA,Governmental,hard,short,?,C,False,5.566704416996799,92.24055182910132,33297,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f2a557821e116aacb2a510,Multi-Document QA,Academic,hard,short,B,C,False,10.177713190998475,85.7045483002043,58038,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebe68d5a08c7b9b35e190b,Single-Document QA,Legal,hard,short,A,C,False,3.6447620120015927,96.66804871767569,17240,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6725e2febb02136c067d8717,Single-Document QA,Event ordering,hard,short,?,D,False,5.733303897999576,90.75021358204565,36781,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f39aa7821e116aacb2da76,Single-Document QA,Financial,hard,short,B,B,True,3.1144330509996507,96.4514894219843,16594,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f9625fbb02136c067c5456,Long In-context Learning,User guide QA,easy,short,B,B,True,2.2163296840008115,98.13452403222492,13174,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,671b2c05bb02136c067d50c8,Long-dialogue History Understanding,Agent history QA,easy,short,B,A,False,7.089511764002964,88.95208193042696,45046,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebd3075a08c7b9b35e02bd,Single-Document QA,Academic,hard,short,A,B,False,3.418821117003972,96.47387969707201,16621,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f3ad93821e116aacb2e29f,Code Repository Understanding,Code repo QA,hard,short,D,C,False,5.345268746998045,92.01834328161854,33566,128
