model,weight_quant,cache_type_k,cache_type_v,n_ctx,example_id,domain,sub_domain,difficulty,length,predicted,expected,is_correct,ttft_s,decode_tokens_per_second,prompt_tokens,predicted_tokens
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fb6d71bb02136c067c7c34,Multi-Document QA,Legal,hard,short,A,B,False,2.4765044020023197,125.76700679436603,27426,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebd3075a08c7b9b35e02bd,Single-Document QA,Academic,hard,short,A,B,False,1.8060701680369675,133.5925864464059,16621,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f95c18bb02136c067c52e1,Single-Document QA,Legal,hard,short,?,B,False,3.673697793041356,120.97258175336528,36251,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f9625fbb02136c067c5456,Long In-context Learning,User guide QA,easy,short,B,B,True,1.5909156299894676,137.92300879043677,13174,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ebe68d5a08c7b9b35e190b,Single-Document QA,Legal,hard,short,A,C,False,1.7263267520465888,133.44912825399538,17240,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ed3e90821e116aacb1f82f,Code Repository Understanding,Code repo QA,easy,short,D,C,False,7.594111102051102,106.86855918639631,64818,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f8c6b4bb02136c067c4480,Multi-Document QA,Multi-news,hard,short,A,C,False,1.9573578900308348,135.77142032816377,13829,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,6725e2febb02136c067d8717,Single-Document QA,Event ordering,hard,short,?,D,False,3.666661577008199,121.2440396240677,36781,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ec7ba6821e116aacb1d114,Multi-Document QA,Academic,hard,short,A,C,False,4.185907533974387,120.19084051896152,39112,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,6703a0ecbb02136c067cd11b,Long Structured Data Understanding,Table QA,hard,short,B,A,False,9.652085769979749,102.06490051861728,75900,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f39aa7821e116aacb2da76,Single-Document QA,Financial,hard,short,B,B,True,2.3056825610110536,132.1484026561829,16594,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66f6bcf3bb02136c067c2703,Multi-Document QA,Governmental,hard,short,A,A,True,1.2929223930113949,136.55445375551417,11085,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66fa7c81bb02136c067c6e09,Code Repository Understanding,Code repo QA,hard,short,D,B,False,10.19973456102889,101.92924995202159,80143,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ed0cb0821e116aacb1e6c1,Single-Document QA,Financial,hard,short,D,A,False,6.647148315038066,113.08919026372753,53398,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,671b2c67bb02136c067d50f7,Long-dialogue History Understanding,Agent history QA,hard,short,B,D,False,5.161484626994934,117.05907367862713,45131,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,q8_0,q8_0,131072,66ec3aff821e116aacb1c52e,Single-Document QA,Literary,easy,medium,D,D,True,11.562206605973188,98.19497686664431,85264,128
