model,weight_quant,cache_type_k,cache_type_v,n_ctx,example_id,domain,sub_domain,difficulty,length,predicted,expected,is_correct,ttft_s,decode_tokens_per_second,prompt_tokens,predicted_tokens
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f3c1c3821e116aacb2eaf6,Multi-Document QA,Governmental,hard,short,A,A,True,3.1782502830028534,131.04818068267912,33941,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66eefe85821e116aacb228dc,Multi-Document QA,Academic,hard,short,A,A,True,3.359011533029843,137.37177739762046,30966,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebde0f5a08c7b9b35e1256,Single-Document QA,Academic,hard,short,D,D,True,2.3979531080112793,141.2220562372707,21745,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,671b1480bb02136c067d4f14,Long-dialogue History Understanding,Agent history QA,easy,short,?,A,False,3.0455752720008604,137.95214353920537,29611,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ed0cb0821e116aacb1e6c1,Single-Document QA,Financial,hard,short,D,A,False,6.016830619017128,129.24071082390952,53398,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f67c18bb02136c067c21b8,Single-Document QA,Academic,easy,short,A,C,False,2.9862091779941693,140.08713857791855,24631,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebdadd5a08c7b9b35e0e5b,Single-Document QA,Academic,hard,short,D,B,False,3.9993985170149244,134.74549418436342,37602,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,6704a442bb02136c067cdd91,Single-Document QA,Literary,hard,short,A,C,False,2.0590831880108453,143.3709420702988,16748,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f3ad93821e116aacb2e29f,Code Repository Understanding,Code repo QA,hard,short,D,C,False,3.4344436209648848,136.27430313792874,33566,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f9625fbb02136c067c5456,Long In-context Learning,User guide QA,easy,short,B,B,True,1.6734458039863966,145.57332004976786,13174,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f39ac5821e116aacb2da81,Code Repository Understanding,Code repo QA,easy,short,A,B,False,13.816140294016805,114.21585905049145,100053,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fa6867bb02136c067c6b3b,Multi-Document QA,Multi-news,hard,short,B,D,False,3.676906329987105,139.83615135952422,24525,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ec3a46821e116aacb1c49f,Long In-context Learning,User guide QA,easy,short,D,A,False,2.8073095270083286,139.64362510486907,26214,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebd5125a08c7b9b35e0616,Single-Document QA,Legal,easy,short,A,C,False,2.2526995500084013,141.79903089224825,20396,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fe8eb3bb02136c067ca35f,Single-Document QA,Legal,hard,short,C,D,False,1.73130125697935,144.40025946921625,15714,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66fcf36fbb02136c067c919e,Code Repository Understanding,Code repo QA,hard,short,D,D,True,9.007164212001953,122.09709389838851,73271,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,671b3fa1bb02136c067d5353,Long-dialogue History Understanding,Agent history QA,hard,short,?,C,False,4.353498670971021,136.47219379051518,33818,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f41348821e116aacb30c89,Multi-Document QA,Legal,hard,short,B,D,False,1.6008240439696237,145.53922282055012,12444,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebe68d5a08c7b9b35e190b,Single-Document QA,Legal,hard,short,A,C,False,1.7516463149804622,143.308179762198,17240,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f91f2cbb02136c067c4b1e,Single-Document QA,Literary,hard,short,D,B,False,1.4384643170051277,145.58640041037168,12822,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ebc95f5a08c7b9b35df497,Single-Document QA,Academic,easy,short,D,B,False,3.078761680983007,137.6184271073897,30472,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66ed1556821e116aacb1ea14,Single-Document QA,Academic,hard,short,A,A,True,2.8061748140025884,139.72075497236693,25503,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66faac15bb02136c067c73f3,Multi-Document QA,Academic,hard,short,B,C,False,4.720031354983803,132.00258230051625,43040,128
unsloth/Qwen3.5-9B-GGUF,Q8_0,f16,f16,131072,66f284ff821e116aacb29763,Single-Document QA,Governmental,hard,short,A,C,False,2.433428992982954,142.28720004357544,18959,128
